Timestamp,How long have you been using Haskell?,Sample Question 2,How would you characterize your use of Haskell today?,What is the status of Haskell in your workplace?,What is the status of Haskell in your workplace?,In which domain(s) are you using Haskell?,Which environment(s) do you use to work with Haskell?,"What language was your primary language just prior to adopting Haskell – or, if Haskell is not your primary language now, what is that primary language?","If Haskell disappeared tomorrow, what language(s) might you use as a ""replacement""?",How would you rate the following qualities of Haskell libraries? [Documentation],How would you rate the following qualities of Haskell libraries? [Test coverage],How would you rate the following qualities of Haskell libraries? [Performance],How would you rate the following qualities of Haskell libraries? [Integration with other libraries],How would you rate the following qualities of Haskell libraries? [Cross platform compatility],How would you rate the following qualities of Haskell libraries? [API stability],How would you rate the following qualities of Haskell libraries? [Ease of use],How would you rate the following qualities of Hackage? [Number of libraries],How would you rate the following qualities of Hackage? [Overall quality of libraries],How would you rate the following qualities of Hackage? [Ease of finding a library for a given task],Reasoning about the performance of Haskell programs is...,What would help you most when reasoning about the performance of your Haskell programs?,How would you rate the following qualities of Hackage? [Ease of judging the quality of a library],What do you think is Haskell's most glaring weakness / blind spot / problem?,How would you rate the following qualities of Hackage? [Likelihood that a library will build on your machine]
7/17/2011 14:58:00,Months,,"I'm just tinkering., I use it for serious ""hobby"" projects., I use it for my studies.",,It's endorsed and used in non-production activities,"Open source projects, System administration, Web development, Compilers / interpreters",TextMate,Python,"Javascript, Python",1,3,2,2,3,3,2,4,4,2,4,"Better static analysis tools (e.g. linters), Better teaching material (e.g. books, tutorials, blog posts, recorded talks), Better library documentation (e.g. documented strictness properties)",2,"To me, it's primarily about idioms and documentation. It's very, very hard to write beautiful and fast Haskell, not in the least because of the string situation. When introduced to Haskell, learning that String is just [Char] is very cool. Finding out that you can't really use it for anything because it's so slow is painful.

A lot of libraries seem to rely on only having ""reference"" documentation, that is an index of every function. This is not enough: More documentation should be written geared towards use of the library. Index and reference is good for hacking the library or doing weird stuff, but when developing, I just want to grab the library and start using it in the way the developer intended.",5
7/17/2011 14:59:10,2 years,,"I use it for serious ""hobby"" projects., I use it at work.",,It's endorsed and used in production applications,"Commercial products, Graphics / art, Thick clients: GTK etc, Web development","vi, Leksah",C++,"C++, Common Lisp, Scala",3,,4,4,4,4,4,4,3,3,3,"Better run-time analysis tools (e.g. profilers), Better library documentation (e.g. documented strictness properties)",,"Need polish enterprise libraries in areas: rdbms access, web-frameworks, GUI
to more wide adoption in enterprise-programing.
",5
7/17/2011 14:59:53,5+ years,,"I'm just tinkering., I use it for serious ""hobby"" projects.",,It's used secretly,"Graphics / art, Math / data analysis, System administration, Thick clients: GTK etc, Compilers / interpreters",Command line REPL,"Java, Javascript, Smalltalk, Eiffel","Java, Javascript",2,2,3,3,3,4,2,3,2,1,5,"Better run-time analysis tools (e.g. profilers), Better teaching material (e.g. books, tutorials, blog posts, recorded talks), Better library documentation (e.g. documented strictness properties)",1,"1. Haskellers think that normal humans know what a ""monoid in the category of endofuctors"" is, and that this and similar language is a sufficient explanation.

2. Windows support is usually an after-thought.
",2
7/17/2011 15:00:59,Just started,,I'm just tinkering.,,I don't use Haskell at work,,Emacs / haskell-mode,"O'Caml, Python","Erlang, O'Caml, agda",2,2,4,2,3,3,3,4,3,5,4,"Better run-time analysis tools (e.g. profilers), Better static analysis tools (e.g. linters), Better teaching material (e.g. books, tutorials, blog posts, recorded talks), Better library documentation (e.g. documented strictness properties)",2,it has no ML-style modules and functors,5
7/17/2011 15:01:33,2 years,,I'm just tinkering.,,I don't use Haskell at work,"Open source projects, Web development, Compilers / interpreters","Emacs / haskell-mode, Leksah",Erlang,Erlang,4,2,3,3,3,3,3,3,3,4,5,"Better run-time analysis tools (e.g. profilers), Better static analysis tools (e.g. linters)",4,Difficulty of learning. The whole monad thing.,3
7/17/2011 15:02:21,1 year,,I'm just tinkering.,,I don't use Haskell at work,"Graphics / art, Open source projects, Compilers / interpreters",vi,Ruby,"Clojure, F#, O'Caml, Scala",3,4,4,3,4,3,4,4,2,3,3,,2,,2
7/17/2011 15:02:31,Weeks,,I'm just tinkering.,,I don't use Haskell at work,Math / data analysis,vi,"Python, Scala","C, Scala",1,3,4,3,3,2,2,3,1,3,2,"Better run-time analysis tools (e.g. profilers), Better static analysis tools (e.g. linters)",3,,4
7/17/2011 15:02:56,3 years,,I'm just tinkering.,,"I'm lobbying to have it be ""endorsed""",Open source projects,Emacs / haskell-mode,Python,"Common Lisp, Erlang, O'Caml, Python, Scheme",4,3,4,3,3,4,4,4,3,3,4,Better library documentation (e.g. documented strictness properties),4,"The reputation as an ""academic"" language you can't do ""real world"" development in is still out there and hurts adaption.",4
7/17/2011 15:04:02,5+ years,,I use it at work.,,It's endorsed and used in production applications,"""Big Data"": Hadoop etc, Commercial products, Commercial services, Math / data analysis, Network programming, Embedded",Emacs / haskell-mode,N/A been using functional langs for 20+ years,None: I'd pick up the compiler and keep it alive (somehow!),4,4,4,3,4,4,4,4,4,1,4,"Better teaching material (e.g. books, tutorials, blog posts, recorded talks), Better library documentation (e.g. documented strictness properties)",2,,4
7/17/2011 15:04:16,3 years,,"I use it for serious ""hobby"" projects.",,"I'm lobbying to have it be ""endorsed""","Math / data analysis, Open source projects, System administration, Compilers / interpreters",Emacs / haskell-mode,"Ada, C++, C#, Java, Scala","Ada, Go, Scala",3,4,4,3,3,4,4,5,4,4,5,"Better static analysis tools (e.g. linters), Better teaching material (e.g. books, tutorials, blog posts, recorded talks)",3,,3
7/17/2011 15:06:18,3 years,,"I use it for serious ""hobby"" projects.",,It's used secretly,Open source projects,vi,C,"Clojure, Common Lisp, O'Caml, Scala, Scheme",2,2,3,3,4,4,3,4,4,3,4,"Better run-time analysis tools (e.g. profilers), Better static analysis tools (e.g. linters), Better teaching material (e.g. books, tutorials, blog posts, recorded talks), Better library documentation (e.g. documented strictness properties)",2,,4
7/17/2011 15:06:33,3 years,,"I use it for serious ""hobby"" projects., I use it at work.",,It's endorsed and used in non-production activities,"Math / data analysis, Thick clients: GTK etc, Web development",,Objective C,"Go, O'Caml, Dylan",3,,2,,2,3,2,4,4,4,3,"I can't reason, because I have not enough knowledge. There is a lot I can learn out there. Performance was not the issue so war. Everything I wrote was fast enough. Even doing Datase conversions on String data type and from the data structure perspective in an inefficient style was fast enough. If it was to slow I would have swtiched to Bytestring as you reccomend and cleand up my structures...and not use lists....",3,"I would like to have a better IDE. I tried leksah lately but I was not good enough (too buggy) to replace SubEthaEdit + Terminal. I have no time to participate in leksah at the moment. It is on my ""When I finally have enough time and money, I will do""-List.",3
7/17/2011 15:07:36,5+ years,,"I use it for serious ""hobby"" projects., I use it at work.",,It's endorsed and used in non-production activities,Compilers / interpreters,"Emacs / haskell-mode, Command line REPL",C++,"O'Caml, Scala",2,2,3,3,3,3,2,4,3,3,4,"Better run-time analysis tools (e.g. profilers), Better library documentation (e.g. documented strictness properties)",1,,3
7/17/2011 15:08:50,2 years,,"I use it for serious ""hobby"" projects., I use it for my studies.",,,"Gaming, Graphics / art, Network programming, Thick clients: GTK etc, Web development, Compilers / interpreters",Command line REPL,Common Lisp,"C, Go",2,1,3,1,5,3,3,4,4,5,5,"Better run-time analysis tools (e.g. profilers), Better static analysis tools (e.g. linters)",3,"I find reasoning about performance quite difficult in the face of laziness, and I don't consider myself an amateur.  I'm not convinced that laziness adds as much to the language as everyone thinks - perhaps it should be dropped?",3
7/17/2011 15:11:23,5+ years,,"I use it for serious ""hobby"" projects., I use it for my studies.",,"I'm lobbying to have it be ""endorsed""","Math / data analysis, System administration",Gedit,C++,C++,4,3,3,2,4,3,3,5,3,4,4,"Better run-time analysis tools (e.g. profilers), Better library documentation (e.g. documented strictness properties)",2,,3
7/17/2011 15:12:05,Just started,,"I'm just tinkering., I use it for my studies.",,,"Math / data analysis, Network programming",vi,Java,Python,5,3,4,3,5,3,5,3,3,3,3,,3,,3
7/17/2011 15:12:15,Just started,,I'm just tinkering.,,I don't use Haskell at work,"""Big Data"": Hadoop etc, ""NoSQL"" usage, EAI - ""enterprisy"" stuff, Network programming, Open source projects, RDBMS programming, System administration",Kate,"C, C++, Javascript, O'Caml","Clojure, O'Caml",5,5,5,5,5,5,5,5,5,5,4,"Better run-time analysis tools (e.g. profilers), Better static analysis tools (e.g. linters), Better teaching material (e.g. books, tutorials, blog posts, recorded talks), Better library documentation (e.g. documented strictness properties)",5,,
7/17/2011 15:12:17,5+ years,,I use it for my studies.,,It's endorsed and used in non-production activities,"Math / data analysis, Open source projects, RDBMS programming, Compilers / interpreters","Emacs / haskell-mode, TextMate",C,Scala,4,4,3,3,4,4,4,4,3,3,4,"Better teaching material (e.g. books, tutorials, blog posts, recorded talks)",2,,4
7/17/2011 15:15:19,1 year,,"I'm just tinkering., I use it for serious ""hobby"" projects.",,,"Graphics / art, Open source projects","Leksah, Gedit","C#, Java",,2,2,3,3,4,4,4,4,3,2,3,"Better teaching material (e.g. books, tutorials, blog posts, recorded talks), Better library documentation (e.g. documented strictness properties)",2,,5
7/17/2011 15:17:25,5+ years,,"I use it for serious ""hobby"" projects.",,I don't use Haskell at work,"Math / data analysis, Network programming, Web development, Compilers / interpreters","vi, Eclipse / EclispeFP",C,Scheme,3,4,4,3,3,2,3,4,3,3,2,"Better run-time analysis tools (e.g. profilers), Better static analysis tools (e.g. linters)",2,"Big dependence on GHC, would like to see some new life for a lightweight implementation like nhc or Hugs.",4
7/17/2011 15:17:46,Months,,"I'm just tinkering., I use it for serious ""hobby"" projects.",,I don't use Haskell at work,"Network programming, Open source projects, System administration, Web development",vi,"Java, Objective C, Ruby, Scala",Scala,1,4,4,4,3,3,2,3,4,3,3,"Better run-time analysis tools (e.g. profilers), Better static analysis tools (e.g. linters), Better teaching material (e.g. books, tutorials, blog posts, recorded talks)",3,"Still largely rooted in the world of academia so it's difficult to find examples of 'real world' projects going on. Judging by the amount of ""I've been learning haskell for a while now I want to create something but I don't know where to start"" posts on Stack Overflow and Reddit, it's evident that the Haskell community needs to bridge that gap",5
7/17/2011 15:18:54,3 years,,I'm just tinkering.,,I don't use Haskell at work,"Open source projects, Web development","vi, Command line REPL",Ruby,Clojure,5,5,5,4,4,4,3,3,4,4,4,"Better teaching material (e.g. books, tutorials, blog posts, recorded talks), Better library documentation (e.g. documented strictness properties)",4,,3
7/17/2011 15:19:20,5+ years,,"I use it for serious ""hobby"" projects., I use it at work.",,It's endorsed and used in production applications,"Open source projects, Web development, Finance, Compilers / interpreters","vi, Command line REPL",C++,"C++, Scala",2,3,3,2,5,4,3,4,3,4,5,Better run-time analysis tools (e.g. profilers),3,Space leaks are too easy to introduce and too hard to identify.,2
7/17/2011 15:20:13,1 year,,I'm just tinkering.,,It's used secretly,Compilers / interpreters,Emacs / haskell-mode,Java,Scala,2,5,4,2,2,2,2,5,5,5,4,"Better teaching material (e.g. books, tutorials, blog posts, recorded talks)",3,Perceived complexity,2
7/17/2011 15:24:43,5+ years,,"I use it for serious ""hobby"" projects., I use it at work.",,It's endorsed and used in non-production activities,"Commercial services, Network programming, Compilers / interpreters",Emacs / haskell-mode,"Erlang, Python",O'Caml,3,3,3,2,3,3,3,4,3,2,4,Better library documentation (e.g. documented strictness properties),1,Standardizing semi-widely adopted advances.,2
7/17/2011 15:26:40,5+ years,,I use it for my studies.,,It's endorsed and used in non-production activities,Math / data analysis,Emacs / haskell-mode,C,"Erlang, F#, Scala",4,4,4,4,4,4,4,5,4,4,4,"Better run-time analysis tools (e.g. profilers), Better static analysis tools (e.g. linters), Better teaching material (e.g. books, tutorials, blog posts, recorded talks), Better library documentation (e.g. documented strictness properties)",3,"Module system, records, lack of mature Qt bindings (or QML) bindings.",4
7/17/2011 15:26:59,5+ years,,"I use it for serious ""hobby"" projects., I use it for my studies.",,I don't use Haskell at work,"Open source projects, Compilers / interpreters","Emacs / haskell-mode, Command line REPL",Common Lisp,"Clojure, Erlang, F#, O'Caml, Scheme",3,1,3,2,3,2,2,4,2,3,4,"Better run-time analysis tools (e.g. profilers), Better static analysis tools (e.g. linters)",1,,3
7/17/2011 15:29:57,Months,,"I use it for serious ""hobby"" projects.",,I don't use Haskell at work,"Network programming, Open source projects, System administration, Web development",Emacs / haskell-mode,O'Caml,"Erlang, O'Caml",3,2,3,3,3,3,3,4,4,4,4,"Better teaching material (e.g. books, tutorials, blog posts, recorded talks), Better library documentation (e.g. documented strictness properties)",2,,3
7/17/2011 15:33:27,Months,,"I'm just tinkering., I use it for serious ""hobby"" projects.",,,"Open source projects, Web development, Compilers / interpreters",vi,"Java, Python","D, O'Caml",2,,,,,,,3,3,4,3,Better static analysis tools (e.g. linters),2,lazy by default,3
7/17/2011 15:33:29,2 years,,"I use it for serious ""hobby"" projects., I use it at work.",,It's endorsed and used in production applications,"""Big Data"": Hadoop etc, Math / data analysis, Open source projects, Compilers / interpreters","vi, Command line REPL",Scheme,"Erlang, F#, O'Caml, Python, Scheme",2,4,2,3,1,3,2,2,2,4,2,"Better run-time analysis tools (e.g. profilers), Better teaching material (e.g. books, tutorials, blog posts, recorded talks), Better library documentation (e.g. documented strictness properties)",4,"Working with foreign libraries on a non-unix system (microsoft windows) is a pain. The build system could definitely need some improvements in that area.

Hackage could need some improvements like a voting system or a ""most popular"" category for packages as it's quite hard to find the most useful library in the amount of different packages in a single section. A comment section would be very helpful aswell, as you could ask the author/other library users specific questions about that library or point out weaknesses in the library design etc. In general, more community integration is needed here.",3
7/17/2011 15:35:15,2 years,,"I use it for serious ""hobby"" projects., I use it for my studies., I use it at work.",,It's endorsed and used in non-production activities,,"Emacs / haskell-mode, Command line REPL","C, C++, Java","Erlang, F#, Javascript, SML",2,4,4,4,2,3,4,4,3,3,3,Better library documentation (e.g. documented strictness properties),1,"There still does not exist an obvious GUI solution for OS X, or an obvious audio solution that does not require the writing of a great deal of ""boilerplate"" code.",2
7/17/2011 15:35:42,5+ years,,"I'm just tinkering., I use it for serious ""hobby"" projects., I use it for my studies., I use it at work.",,It's endorsed and used in production applications,"Math / data analysis, Open source projects, Compilers / interpreters","vi, Command line REPL","C, C++, Java, Python",Scala,2,2,3,3,3,3,3,4,3,4,4,"Better run-time analysis tools (e.g. profilers), Better static analysis tools (e.g. linters)",2,No real module system. Even more and more complicated extensions.,2
7/17/2011 15:36:45,4 years,,"I use it for serious ""hobby"" projects., I use it for my studies.",,I don't use Haskell at work,"Math / data analysis, Open source projects, Compilers / interpreters","Emacs / haskell-mode, vi","C, Python",O'Caml,2,4,4,1,2,2,4,5,3,3,3,Better library documentation (e.g. documented strictness properties),1,lack of cohesion between libraries.,2
7/17/2011 15:37:48,5+ years,,I'm just tinkering.,,I don't use Haskell at work,Open source projects,"Emacs / haskell-mode, Command line REPL",Java,Ur/Web,2,2,3,2,4,4,4,5,3,2,3,"Better run-time analysis tools (e.g. profilers), Better teaching material (e.g. books, tutorials, blog posts, recorded talks), Better library documentation (e.g. documented strictness properties)",2,,2
7/17/2011 15:39:03,5+ years,,"I use it for serious ""hobby"" projects.",,I don't use Haskell at work,"Math / data analysis, Open source projects, Finance",Emacs / haskell-mode,"C++, Python","C++, Python",4,3,2,2,3,4,4,4,3,4,3,Better library documentation (e.g. documented strictness properties),2,"Libraries have extremely complicated dependencies, and it's often hard to figure out which versions of which libraries can be built and used together. Cabal-install can do it pretty well, of course, but I prefer libraries to be installed by the system's package manager, because I don't want to worry about all kinds of different mechanisms. I've spent almost a year trying to support Haskell packages an ArchLinux, for example, and it's been a challenging task. Generally speaking, distro support for Haskell seems to be not particularly great.

Also, many libraries work great for smallish example projects, but their performance is not very good when they're given serious amount of data.",3
7/17/2011 15:40:43,4 years,,"I use it for serious ""hobby"" projects., I use it at work.",,It's endorsed and used in production applications,"Commercial services, Open source projects, System administration","Command line REPL, Eclipse / EclispeFP, Gedit",Java,"O'Caml, Python, Scala",3,2,4,5,4,4,5,4,3,4,4,"Better run-time analysis tools (e.g. profilers), Better teaching material (e.g. books, tutorials, blog posts, recorded talks)",3,"Library versioning is still an unsolved problem.  There also seems to be a segment of the community oushing to make Haskell programming ever more inaccessible and complex, and we're lacking strong advocates for simplicity, approachability, ad other related goals.",4
7/17/2011 15:44:48,5+ years,,"I'm just tinkering., I use it at work.",,It's used secretly,"Commercial services, Math / data analysis, Compilers / interpreters",Emacs / haskell-mode,Python,Python,3,4,4,3,4,4,3,5,3,3,2,,2,,4
7/17/2011 15:45:07,Months,,I'm just tinkering.,,I don't use Haskell at work,Web development,"vi, yi",Javascript,,4,4,4,3,4,5,3,4,4,4,4,,3,,4
7/17/2011 15:45:46,5+ years,,I'm just tinkering.,,"I'm lobbying to have it be ""endorsed""","Math / data analysis, Web development",Emacs / haskell-mode,Java,C#,2,3,4,5,5,4,4,4,3,2,4,"Better teaching material (e.g. books, tutorials, blog posts, recorded talks), Better library documentation (e.g. documented strictness properties)",2,The lack of REALLY good ide's and refactoring tools. Integration between libraries could be better also. And standardization of libraries. There should for example preferably only exist one good and blessed iteratee- library so that it could start getting serious use across libraries. The same is true for parser combinators etc. I think its getting better though,4
7/17/2011 15:47:09,2 years,,"I use it for serious ""hobby"" projects.",,"I'm lobbying to have it be ""endorsed""","Network programming, Open source projects, RDBMS programming, Web development","vi, Command line REPL","Java, Python",O'Caml,2,3,3,2,3,1,2,4,2,2,3,"stack traces, reliable source code navigation",2,"(a) We lack tools, that accurately find definitions and call sites of functions.  Moreover, writing such tools in not trivial (due to -fth and -cpp).  This makes source code navigation and automatic renaming of functions (ala Eclipse/Eclim) hard.

(b) No location info when things go bad (no stack traces on exceptions, no line numbers for log messages).",4
7/17/2011 15:48:12,5+ years,,"I use it for serious ""hobby"" projects., I use it for my studies., I use it at work.",,It's endorsed and used in production applications,"Math / data analysis, Compilers / interpreters","Emacs / haskell-mode, Command line REPL","C, Javascript, Python","Clojure, Python, Ruby, Scala",3,2,3,4,3,3,3,4,3,4,4,"Better run-time analysis tools (e.g. profilers), Better static analysis tools (e.g. linters)",2,Dependency hell.,2
7/17/2011 15:49:43,Months,,I'm just tinkering.,,I don't use Haskell at work,Open source projects,vi,"C, Common Lisp, Python","C++, Clojure, Erlang, Scala",5,5,4,3,4,4,2,4,4,3,4,"Better run-time analysis tools (e.g. profilers), Better static analysis tools (e.g. linters)",3,,4
7/17/2011 15:53:14,3 years,,"I use it for serious ""hobby"" projects., I use it at work.",,It's used secretly,"Gaming, Network programming, Open source projects, System administration",Emacs / haskell-mode,Python,O'Caml,3,,3,3,2,2,3,4,3,2,3,"Better run-time analysis tools (e.g. profilers), Better static analysis tools (e.g. linters), Better library documentation (e.g. documented strictness properties), A SLIME-like debugger would be nice.",2,,3
7/17/2011 15:54:47,3 years,,"I use it for serious ""hobby"" projects., I use it for my studies.",,I don't use Haskell at work,"Graphics / art, Math / data analysis","vi, Command line REPL","Python, Ruby","O'Caml, Ruby",2,3,4,3,3,2,1,3,2,3,3,"Better run-time analysis tools (e.g. profilers), Better static analysis tools (e.g. linters)",3,,2
7/17/2011 15:55:39,3 years,,"I'm just tinkering., I use it for serious ""hobby"" projects.",,I don't use Haskell at work,"Math / data analysis, Open source projects, Web development, Finance","vi, Command line REPL","Groovy, Java, Javascript, Python, R","Clojure, Factor, Python",3,2,4,4,3,3,4,5,3,3,4,"Better static analysis tools (e.g. linters), Better teaching material (e.g. books, tutorials, blog posts, recorded talks), Better library documentation (e.g. documented strictness properties)",2,,5
7/17/2011 15:55:44,2 years,,I use it for my studies.,,It's used secretly,Math / data analysis,vi,,R,2,3,3,3,2,3,4,3,3,3,3,Better library documentation (e.g. documented strictness properties),3,,3
7/17/2011 15:56:31,1 year,,"I use it for serious ""hobby"" projects.",,I don't use Haskell at work,"""Big Data"": Hadoop etc, Math / data analysis, Finance",Emacs / haskell-mode,"Clojure, Java, Scala","F#, O'Caml, Scala",2,2,4,3,3,2,5,5,3,5,3,"Better teaching material (e.g. books, tutorials, blog posts, recorded talks)",4,Lack of commercial support/investment,3
7/17/2011 15:58:27,5+ years,,"I use it for my studies., I use it at work.",,It's endorsed and used in production applications,"Commercial services, Finance","Emacs / haskell-mode, Command line REPL","C, C++, Python, Scheme","Python, Scala",3,2,3,4,4,3,3,5,4,2,3,"Better run-time analysis tools (e.g. profilers), Better teaching material (e.g. books, tutorials, blog posts, recorded talks)",2,"Although it is generally regarded a good thing to have diversification, there are two items where I'd like appreciate an authoritatively dictated choice:

1.) The non-unified (esp. among libraries) Error/Exception handling, as well as

2.) the record-update problem (there are the lenses/fclabels/etc packages, but again, this is a non-unified approach, and it feels clumsy to have to use underscores to mark fields -- I'd prefer a GHC language extension)

These are _the_ two things (among a few other minor issues) that I dislike the most",4
7/17/2011 15:58:29,5+ years,,I use it at work.,,It's endorsed and used in production applications,"""NoSQL"" usage, Web development",Emacs / haskell-mode,O'Caml,O'Caml,3,2,3,3,4,3,3,4,4,3,3,,2,"Developing GUI applications.

Realtime -- such as a realtime modular synthesizer. (Mostly due to stop the world garbage collection).",4
7/17/2011 15:58:36,3 years,,"I use it for serious ""hobby"" projects.",,I don't use Haskell at work,"""NoSQL"" usage, Graphics / art, Network programming, Web development",Emacs / haskell-mode,Objective C,Clojure,5,3,4,4,3,4,5,4,4,4,3,Better library documentation (e.g. documented strictness properties),2,"We just need to keep up the fight, mate.",4
7/17/2011 15:58:59,5+ years,,I'm just tinkering.,,I don't use Haskell at work,"Gaming, Graphics / art, Compilers / interpreters",Leksah,C#,Clean,2,2,3,3,4,3,3,5,3,3,2,,2,,4
7/17/2011 15:59:03,5+ years,,"I'm just tinkering., I use it for serious ""hobby"" projects., I use it for my studies., I use it at work.",,It's used secretly,"Commercial services, Math / data analysis, Open source projects, Web development, Compilers / interpreters","Emacs / haskell-mode, yi",C,"Python, Ruby",4,2,3,3,3,3,4,4,3,3,3,"Better run-time analysis tools (e.g. profilers), Better library documentation (e.g. documented strictness properties)",3,,4
7/17/2011 16:00:34,2 years,,"I use it for serious ""hobby"" projects., I use it for my studies.",,It's used secretly,"Graphics / art, Math / data analysis, Network programming, Open source projects","Emacs / haskell-mode, Leksah, Command line REPL",C++,C++,4,2,3,2,4,3,4,3,3,3,3,"Better static analysis tools (e.g. linters), Better library documentation (e.g. documented strictness properties)",2,"We generally don't know what to expect from a library from hackage, may it be about API stability, performances, etc, except for the ""well known"" libraries.",2
7/17/2011 16:00:48,3 years,,"I use it for serious ""hobby"" projects., I use it for my studies.",,,Math / data analysis,Gedit,C,Aldor,4,4,4,5,4,4,4,4,5,2,3,"Better teaching material (e.g. books, tutorials, blog posts, recorded talks), Better library documentation (e.g. documented strictness properties)",4,We have no general purpose CAS in Haskell,4
7/17/2011 16:03:09,Months,,"I'm just tinkering., I use it for my studies.",,I don't use Haskell at work,Compilers / interpreters,,"Java, Python, Scala",Scala,2,3,3,3,3,3,2,4,2,2,3,Better library documentation (e.g. documented strictness properties),2,,3
7/17/2011 16:04:40,3 years,,"I use it for serious ""hobby"" projects.",,,,Emacs / haskell-mode,Java,Scheme,3,2,3,2,3,3,3,4,3,2,4,Better library documentation (e.g. documented strictness properties),2,,3
7/17/2011 16:05:28,3 years,,I use it at work.,,It's endorsed and used in production applications,"Math / data analysis, RDBMS programming, System administration, Compilers / interpreters","vi, Command line REPL","C, Perl",,,,1,1,3,1,3,3,3,2,,Better run-time analysis tools (e.g. profilers),5,"Haskell utterly fails at programming in-the-large. It's ""module"" system doesn't scale.",2
7/17/2011 16:06:49,Months,,"I'm just tinkering., I use it for serious ""hobby"" projects.",,,"""NoSQL"" usage, Network programming, Open source projects, Web development",Leksah,Java,O'Caml,2,5,5,5,5,3,2,3,4,3,3,"Better run-time analysis tools (e.g. profilers), Better teaching material (e.g. books, tutorials, blog posts, recorded talks)",4,"The lack of proper IDE support in Eclipse, the in my opinion best IDE out there. I want to be able to browse and find documentation, types, functions, etc. quickly, I want automatic import management (some shortcut for the editor to sort the imports and import only the ones used (if so configured) in a clever way.",4
7/17/2011 16:07:33,1 year,,"I'm just tinkering., I use it for serious ""hobby"" projects., I use it at work.",,It's endorsed and used in production applications,Compilers / interpreters,Emacs / haskell-mode,O'Caml,"O'Caml, Python, Scheme",1,1,3,2,4,,1,4,2,1,1,"Better run-time analysis tools (e.g. profilers), Better static analysis tools (e.g. linters), Better teaching material (e.g. books, tutorials, blog posts, recorded talks), Better library documentation (e.g. documented strictness properties)",1,,3
7/17/2011 16:08:32,1 year,,"I'm just tinkering., I use it for serious ""hobby"" projects.",,I don't use Haskell at work,"Math / data analysis, Web development",vi,Perl,O'Caml,4,3,3,4,2,4,4,3,4,4,4,"Better teaching material (e.g. books, tutorials, blog posts, recorded talks), Better library documentation (e.g. documented strictness properties)",3,,4
7/17/2011 16:10:14,5+ years,,"I use it for my studies., I use it at work.",,It's endorsed and used in non-production activities,"Open source projects, Web development","vi, Command line REPL",,Scala,4,2,3,3,3,3,2,5,3,3,3,"Better run-time analysis tools (e.g. profilers), Better static analysis tools (e.g. linters), Better teaching material (e.g. books, tutorials, blog posts, recorded talks), Better library documentation (e.g. documented strictness properties)",3,,4
7/17/2011 16:11:54,4 years,,I'm just tinkering.,,I don't use Haskell at work,"Math / data analysis, Network programming, Compilers / interpreters","Emacs / haskell-mode, TextMate","Java, Ruby",Scala,3,4,5,4,4,3,2,4,3,3,4,"Better run-time analysis tools (e.g. profilers), Better static analysis tools (e.g. linters)",2,Libraries tend to become needlessly complex for easy tasks when more and more abstractions and generalizations are dragged in. (Haskell makes it a joy to do such stuff.),4
7/17/2011 16:12:38,3 years,,"I'm just tinkering., I use it for my studies.",,,"Math / data analysis, System administration","vi, Command line REPL","C, Lua","F#, Scala",4,4,5,3,4,2,4,4,4,5,2,Better run-time analysis tools (e.g. profilers),3,"If you pick a random one-year-old library on Hackage, I don't think it will have even a 30% chance of building in the most recent GHC without source modifications. That's just wrong.",1
7/17/2011 16:13:08,Weeks,,I'm just tinkering.,,I don't use Haskell at work,"Gaming, System administration","vi, Command line REPL","C++, Python",O'Caml,3,3,4,4,4,4,3,3,3,4,4,"Better teaching material (e.g. books, tutorials, blog posts, recorded talks), Better library documentation (e.g. documented strictness properties)",2,,4
7/17/2011 16:14:56,2 years,,"I use it for serious ""hobby"" projects., I use it for my studies.",,I don't use Haskell at work,"""NoSQL"" usage, Web development, Compilers / interpreters",Emacs / haskell-mode,"C, Python","Clojure, Python",3,3,4,3,2,3,3,5,4,4,4,"Better teaching material (e.g. books, tutorials, blog posts, recorded talks)",2,"It's quite hard to debug haskell programs, even if you need to debug way less, mainly thanks to the typing system.",2
7/17/2011 16:16:50,5+ years,,"I use it for serious ""hobby"" projects., I use it for my studies.",,"I'm lobbying to have it be ""endorsed""","""Big Data"": Hadoop etc, Math / data analysis","Emacs / haskell-mode, Leksah",Python,"C#, F#, O'Caml",4,1,3,3,5,4,4,5,3,2,2,Better run-time analysis tools (e.g. profilers),2,"Haskell as a language is very good.  Maybe the lack of a solid IDE (since unfortunately Leksah still isn't there), but that doesn't bite me often.

Haskell as an ecosystem has a big problem about Hackage's organization.  We need to redesign it someday.",5
7/17/2011 16:17:19,Months,,"I'm just tinkering., I use it for serious ""hobby"" projects.",,It's used secretly,"Gaming, Math / data analysis, Open source projects, Web development, Compilers / interpreters","Command line REPL, Gedit","C++, Go","Clojure, Erlang, F#",3,3,4,4,1,3,4,4,3,3,5,"Better run-time analysis tools (e.g. profilers), Better static analysis tools (e.g. linters)",3,,1
7/17/2011 16:17:34,3 years,,"I'm just tinkering., I use it for serious ""hobby"" projects.",,It's endorsed and used in non-production activities,"""Big Data"": Hadoop etc, Math / data analysis, Compilers / interpreters",vi,Python,Clojure,2,2,2,2,2,2,3,3,2,2,4,"Better run-time analysis tools (e.g. profilers), Better static analysis tools (e.g. linters), Better library documentation (e.g. documented strictness properties)",2,dependencies hell,1
